chr	start
chr21	10884748
chr21	10884763
chr21	10884769
chr21	10884773
chr21	10884783
chr21	10884785
chr21	10884788
chr21	10884791
chr21	10884805
chr21	10884810
chr21	10884823
chr21	10884829
chr21	10884833
chr21	10884843
chr21	10884853
chr21	10884855
chr21	10884906
chr21	10884908
chr21	10884911
chr21	10884914
chr21	10884933
chr21	10884936
chr21	10884950
chr21	10884952
chr21	10884955
chr21	10884967
chr21	10884969
chr21	10884975
chr21	10884993
chr21	10884998
chr21	10885002
chr21	10885013
chr21	10885018
chr21	10885030
chr21	10885035
chr21	10885038
chr21	10885054
chr21	10885056
chr21	10885059
chr21	10889474
chr21	10889561
chr21	10889562
chr21	10889576
chr21	10891705
chr21	10891725
chr21	10891737
chr21	10891770
chr21	10891822
chr21	10891826
chr21	10891831
chr21	10891839
chr21	10891859
chr21	10891875
chr21	10904293
chr21	10905492
chr21	10905493
chr21	10905548
chr21	10905549
chr21	10905656
chr21	10905657
chr21	10905804
chr21	10905805
chr21	10905815
chr21	10905816
chr21	10922634
chr21	10922702
chr21	10922703
chr21	10922792
chr21	10937536
chr21	10945683
chr21	10945691
chr21	10945763
chr21	10969096
chr21	10969173
chr21	10969178
chr21	10969234
chr21	10969270
chr21	10969272
chr21	10969278
chr21	10969282
chr21	10969302
chr21	10969326
chr21	10989971
chr21	10989985
chr21	10989988
chr21	10989991
chr21	10990002
chr21	10990006
chr21	10990008
chr21	10990020
chr21	10990042
chr21	10990047
chr21	10990049
chr21	10990054
chr21	10990067
chr21	10990083
chr21	10990093
chr21	10990103
chr21	10990198
chr21	10990204
chr21	10990208
chr21	10990218
chr21	10990224
chr21	10990230
chr21	10990254
chr21	10990267
chr21	10990284
chr21	10990321
chr21	10991005
chr21	10991010
chr21	10991011
chr21	10991012
chr21	10991013
chr21	10991016
chr21	10991017
chr21	10991020
chr21	10991021
chr21	10991023
chr21	10991024
chr21	10991027
chr21	10991028
chr21	10991029
chr21	10991030
chr21	10991031
chr21	10991032
chr21	10991050
chr21	10991051
chr21	10991053
chr21	10991054
chr21	10991060
chr21	10991061
chr21	10991062
chr21	10991063
chr21	10991066
chr21	10991067
chr21	10991068
chr21	10991069
chr21	10991070
chr21	10991071
chr21	10991072
chr21	10991073
chr21	10991075
chr21	10991076
chr21	10991089
chr21	10991090
chr21	10991103
chr21	10991104
chr21	10991111
chr21	10991722
chr21	10991726
chr21	10991796
chr21	10991821
chr21	10991859
chr21	11000091
chr21	11000095
chr21	11000097
chr21	11000151
chr21	11000165
chr21	11000185
chr21	11000259
chr21	11000285
chr21	11043191
chr21	11043262
chr21	11043338
chr21	11055828
chr21	11055834
chr21	11055835
chr21	11055878
chr21	11055879
chr21	11055889
chr21	11055890
chr21	11055903
chr21	11055904
chr21	11055934
chr21	11055935
chr21	11059756
chr21	11059760
chr21	11059767
chr21	11059781
chr21	11064914
chr21	11064978
chr21	11064992
chr21	11065008
chr21	11065070
chr21	11065071
chr21	11078071
chr21	11078079
chr21	11078080
chr21	11078142
chr21	11078143
chr21	11078152
chr21	11078174
chr21	11078175
chr21	11078196
chr21	11078197
chr21	11078206
chr21	11081351
chr21	11081375
chr21	11088690
chr21	11088710
chr21	11088726
chr21	11088735
chr21	11088740
chr21	11088784
chr21	11092402
chr21	11092434
chr21	11092472
chr21	11092474
chr21	11092480
chr21	11092626
chr21	11096670
chr21	11096678
chr21	11096734
chr21	11096742
chr21	11096761
chr21	11098733
chr21	11098764
chr21	11098773
chr21	11098795
chr21	11098828
chr21	11098833
chr21	11098840
chr21	11098890
chr21	11098891
chr21	11098909
chr21	11099119
chr21	11099120
chr21	11099157
chr21	11099158
chr21	11099162
chr21	11099163
chr21	11099239
chr21	11099240
chr21	11099249
chr21	11099250
chr21	11099255
chr21	11099256
chr21	11099300
chr21	11099327
chr21	11099431
chr21	11099436
chr21	11100696
chr21	11100777
chr21	11100778
chr21	11100782
chr21	11100783
chr21	11100840
chr21	11106445
chr21	11106452
chr21	11106469
chr21	11106475
chr21	11106477
chr21	11106572
chr21	11106692
chr21	11106831
chr21	11106834
chr21	11106836
chr21	11106839
chr21	11106849
chr21	11106863
chr21	11106867
chr21	11106874
chr21	11106877
chr21	11106887
chr21	11106904
chr21	11106928
chr21	11106944
chr21	11106968
chr21	11106977
chr21	11106979
chr21	11106996
chr21	11107010
chr21	11107012
chr21	11107029
chr21	11107031
chr21	11107048
chr21	11107092
chr21	11107108
chr21	11107117
chr21	11107119
chr21	11107413
chr21	11107421
chr21	11107450
chr21	11107458
chr21	11107483
chr21	11107549
chr21	11107578
chr21	11107579
chr21	11107609
chr21	11107610
chr21	11107626
chr21	11107627
chr21	11107631
chr21	11107632
chr21	11107675
chr21	11107676
chr21	11107679
chr21	11107680
chr21	11107754
chr21	11107755
chr21	11107870
chr21	11110259
chr21	11110306
chr21	11110350
chr21	11110383
chr21	11110394
chr21	11110437
chr21	11110441
chr21	11110508
chr21	11111177
chr21	11111185
chr21	11111186
chr21	11111209
chr21	11111210
chr21	11111220
chr21	11111221
chr21	11111239
chr21	11111240
chr21	11111288
chr21	11111289
chr21	11111349
chr21	11111350
chr21	11111449
chr21	11111450
chr21	11114743
chr21	11114761
chr21	11114762
chr21	11114777
chr21	11114778
chr21	11114822
chr21	11114823
chr21	11114859
chr21	11114860
chr21	11114865
chr21	11114866
chr21	11114883
chr21	11114884
chr21	11114902
chr21	11116646
chr21	11116652
chr21	11116690
chr21	11116699
chr21	11116706
chr21	11116720
chr21	11116740
chr21	11116751
chr21	11116785
chr21	11116793
chr21	11116817
chr21	11116841
chr21	11126198
chr21	11126290
chr21	11126296
chr21	11126319
chr21	11126320
chr21	11126353
chr21	11126354
chr21	11126377
chr21	11126378
chr21	11126388
chr21	11126525
chr21	11128687
chr21	11128703
chr21	11128710
chr21	11128829
chr21	11128834
chr21	11128874
chr21	11128897
chr21	11128904
chr21	11129012
chr21	11129032
chr21	11129046
chr21	11129057
chr21	11129090
chr21	11129106
chr21	11129971
chr21	11129978
chr21	11129979
chr21	11129984
chr21	11129985
chr21	11130080
chr21	11130081
chr21	11130097
chr21	11131102
chr21	11131122
chr21	11131136
chr21	11131147
chr21	11131180
chr21	11131193
chr21	11131237
chr21	11131261
chr21	11131267
chr21	11131284
chr21	11131301
chr21	11131331
chr21	11131353
chr21	11131355
chr21	11131358
chr21	11131359
chr21	11131378
chr21	11131379
chr21	11131417
chr21	11131418
chr21	11131558
chr21	11131559
chr21	11131567
chr21	11131997
chr21	11132001
chr21	11132013
chr21	11132041
chr21	11132073
chr21	11132136
chr21	11132137
chr21	11132152
chr21	11132153
chr21	11132190
chr21	11132191
chr21	11132200
chr21	11132201
chr21	11132207
chr21	11132230
chr21	11132338
chr21	11132339
chr21	11132354
chr21	11132355
chr21	11132374
chr21	11132375
chr21	11134519
chr21	11134535
chr21	11134563
chr21	11134572
chr21	11134579
chr21	11134593
chr21	11134613
chr21	11134624
chr21	11135421
chr21	11135446
chr21	11135447
chr21	11135490
chr21	11135491
chr21	11135569
chr21	11136019
chr21	11136097
chr21	11136098
chr21	11136111
chr21	11136112
chr21	11136150
chr21	11138132
chr21	11138160
chr21	11138161
chr21	11138216
chr21	11138217
chr21	11138259
chr21	11138260
chr21	11138266
chr21	11140063
chr21	11140071
chr21	11140170
chr21	11140174
chr21	11140179
chr21	11140217
chr21	11140219
chr21	11140223
chr21	11143747
chr21	11143778
chr21	11154513
chr21	11154515
chr21	11154525
chr21	11154553
chr21	11154569
chr21	11154583
chr21	11154603
chr21	11154614
chr21	11154646
chr21	11164582
chr21	11164587
chr21	11164636
chr21	11164648
chr21	11164670
chr21	11168541
chr21	11168554
chr21	11168555
chr21	11168562
chr21	11168563
chr21	11168567
chr21	11168568
chr21	11168588
chr21	11168589
chr21	11168631
chr21	11168632
chr21	11168645
chr21	11168758
chr21	11168762
chr21	11168787
chr21	11168798
chr21	11168805
chr21	11168848
chr21	11168883
chr21	11168916
chr21	11168938
chr21	11168962
chr21	11168980
chr21	11168996
chr21	11169072
chr21	11169099
chr21	11169100
chr21	11169112
chr21	11169113
chr21	11169114
chr21	11169115
chr21	11169124
chr21	11169125
chr21	11169151
chr21	11169152
chr21	11169191
chr21	11169764
chr21	11169767
chr21	11169770
chr21	11169781
chr21	11169788
chr21	11169809
chr21	11169838
chr21	11169841
chr21	11169899
chr21	11171215
chr21	11171233
chr21	11171258
chr21	11171270
chr21	14372871
chr21	14372884
chr21	14372886
chr21	14372914
chr21	14372946
chr21	14384288
chr21	14384300
chr21	14384304
chr21	14384346
chr21	14384420
chr21	14384447
chr21	14384467
chr21	14390671
chr21	14390767
chr21	14390771
chr21	14392396
chr21	14392420
chr21	14392436
chr21	14392508
chr21	14395646
chr21	14395757
chr21	14407423
chr21	14407451
chr21	14407467
chr21	14455606
chr21	14455662
chr21	14455697
chr21	14494585
chr21	14494649
chr21	14494668
chr21	14533333
chr21	14533389
chr21	14567894
chr21	14567913
chr21	14567922
chr21	14568464
chr21	14568536
chr21	14568565
chr21	14568567
chr21	14568577
chr21	14568580
chr21	14568587
chr21	14568591
chr21	14568605
chr21	14568625
chr21	14568631
chr21	14568633
chr21	14625540
chr21	14625554
chr21	14625561
chr21	14625608
chr21	14625610
chr21	14625613
chr21	14684586
chr21	14684587
chr21	14684600
chr21	14684601
chr21	14684642
chr21	14743017
chr21	14745453
chr21	14745462
chr21	14745473
chr21	14745542
chr21	14745860
chr21	14745953
chr21	14745963
chr21	14745969
chr21	14751141
chr21	14751242
chr21	14751260
chr21	14751270
chr21	14800847
chr21	14800863
chr21	14800872
chr21	14800918
chr21	14855059
chr21	14855101
chr21	14863198
chr21	14863202
chr21	14863234
chr21	14863258
chr21	14863273
chr21	14863290
chr21	14863296
chr21	14863298
chr21	14864341
chr21	14871642
chr21	14871698
chr21	14871722
chr21	14871870
chr21	14871877
chr21	14886897
chr21	14886921
chr21	14887010
chr21	14887040
chr21	14989104
chr21	15036256
chr21	15036279
chr21	15036295
chr21	15036320
chr21	15036395
chr21	15078066
chr21	15078100
chr21	15078156
chr21	15078222
chr21	15078253
chr21	15078329
chr21	15078364
chr21	15083653
chr21	15083661
chr21	15096464
chr21	15096469
chr21	15096473
chr21	15096478
chr21	15096510
chr21	15096518
chr21	15096576
chr21	15096580
chr21	15096583
chr21	15096620
chr21	15096626
chr21	15098192
chr21	15098231
chr21	15098247
chr21	15149395
chr21	15149415
chr21	15181710
chr21	15181741
chr21	15181766
chr21	15181809
chr21	15181815
chr21	15199961
chr21	15200055
chr21	15200060
chr21	15200076
chr21	15200107
chr21	15200116
chr21	15200139
chr21	15200140
chr21	15200172
chr21	15200177
chr21	15200182
chr21	15200196
chr21	15200202
chr21	15200204
chr21	15219376
chr21	15219577
chr21	15269958
chr21	15352018
chr21	15352043
chr21	15352055
chr21	15352063
chr21	15352065
chr21	15352075
chr21	15352086
chr21	15352088
chr21	15352091
chr21	15352094
chr21	15352131
chr21	15352138
chr21	15381284
chr21	15381288
chr21	15383223
chr21	15383230
chr21	15383244
chr21	15383285
chr21	15384485
chr21	15384492
chr21	15384512
chr21	15384536
chr21	15391297
chr21	15399204
chr21	15399247
chr21	15399262
chr21	15399263
chr21	15399325
chr21	15399326
chr21	15399386
chr21	15430513
chr21	15430684
chr21	15436733
chr21	15436741
chr21	15436764
chr21	15436777
chr21	15436780
chr21	15436785
chr21	15436796
chr21	15436806
chr21	15436808
chr21	15436816
chr21	15436828
chr21	15436853
chr21	15443189
chr21	15443207
chr21	15443218
chr21	15443247
chr21	15443281
chr21	15443283
chr21	15443298
chr21	15443319
chr21	15443389
chr21	15443777
chr21	15443794
chr21	15443800
chr21	15443812
chr21	15443817
chr21	15443825
chr21	15443847
chr21	15443848
chr21	15443876
chr21	15443877
chr21	15443883
chr21	15443884
chr21	15443905
chr21	15443906
chr21	15443920
chr21	15444315
chr21	15444329
chr21	15444332
chr21	15444340
chr21	15444345
chr21	15444374
chr21	15444383
chr21	15444849
chr21	15444864
chr21	15444896
chr21	15444958
chr21	15444965
chr21	15445052
chr21	15445192
chr21	15445222
chr21	15445229
chr21	15445233
chr21	15445235
chr21	15445255
chr21	15445305
chr21	15445487
chr21	15445505
chr21	15445520
chr21	15445543
chr21	15445585
chr21	15445588
chr21	15449791
chr21	15449797
chr21	15449807
chr21	15449827
chr21	15449859
chr21	15452038
chr21	15452644
chr21	15452671
chr21	15452686
chr21	15454685
chr21	15457721
chr21	15457779
